RS_ID,ACT_ID,GROUP_NUMBER,OBJECT,AUTH_FIELD,AUTH_VALUES_VON,AUTH_VALUES_BIS,LOGIC_OPERATOR,ACTIVE
RS0001,ACT0001,1,F_LFA1_APP,ACTVT,01,,2,1
RS0001,ACT0001,1,F_LFA1_GRP,ACTVT,01,,2,1
RS0001,ACT0001,2,F_LFA1_APP,ACTVT,02,,2,1
RS0001,ACT0001,2,F_LFA1_APP,ACTVT,05,06,2,1
RS0001,ACT0001,2,F_LFA1_GRP,ACTVT,02,,2,1
RS0001,ACT0001,3,F_LFA1_APP,ACTVT,05,,2,1
RS0001,ACT0001,3,F_LFA1_GRP,ACTVT,05,,2,1
RS0001,ACT0001,4,F_LFA1_APP,ACTVT,06,,2,1
RS0001,ACT0001,4,F_LFA1_GRP,ACTVT,06,,2,1
RS0001,ACT0001,5,F_LFA1_APP,ACTVT,02,,2,1
RS0001,ACT0001,5,F_LFA1_GRP,ACTVT,02,,2,1
RS0001,ACT0001,6,F_LFA1_GEN,ACTVT,01,,2,1
RS0001,ACT0001,7,F_LFA1_GEN,ACTVT,02,,2,1
RS0001,ACT0001,8,F_LFA1_APP,ACTVT,01,,2,1
RS0001,ACT0001,8,F_LFA1_GEN,ACTVT,01,,2,1
RS0001,ACT0001,8,F_LFA1_GRP,ACTVT,01,,2,1
RS0001,ACT0001,9,F_LFA1_APP,ACTVT,01,02,2,1
RS0001,ACT0001,9,F_LFA1_APP,ACTVT,05,06,2,1
RS0001,ACT0001,9,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,9,F_LFA1_GEN,ACTVT,01,02,2,1
RS0001,ACT0001,9,F_LFA1_GEN,ACTVT,05,06,2,1
RS0001,ACT0001,9,F_LFA1_GRP,ACTVT,01,02,2,1
RS0001,ACT0001,9,F_LFA1_GRP,ACTVT,05,06,2,1
RS0001,ACT0001,9,M_LFM1_EKO,ACTVT,01,02,2,1
RS0001,ACT0001,9,M_LFM1_EKO,ACTVT,05,06,2,1
RS0001,ACT0001,10,F_LFA1_APP,ACTVT,05,,2,1
RS0001,ACT0001,10,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,10,F_LFA1_GEN,ACTVT,05,,2,1
RS0001,ACT0001,10,F_LFA1_GRP,ACTVT,05,,2,1
RS0001,ACT0001,10,M_LFM1_EKO,ACTVT,05,,2,1
RS0001,ACT0001,11,F_LFA1_APP,ACTVT,01,,2,1
RS0001,ACT0001,11,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,11,F_LFA1_GEN,ACTVT,01,,2,1
RS0001,ACT0001,11,F_LFA1_GRP,ACTVT,01,,2,1
RS0001,ACT0001,11,M_LFM1_EKO,ACTVT,01,,2,1
RS0001,ACT0001,12,F_LFA1_APP,ACTVT,02,,2,1
RS0001,ACT0001,12,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,12,F_LFA1_GEN,ACTVT,02,,2,1
RS0001,ACT0001,12,F_LFA1_GRP,ACTVT,02,,2,1
RS0001,ACT0001,12,M_LFM1_EKO,ACTVT,02,,2,1
RS0001,ACT0001,13,F_LFA1_APP,ACTVT,06,,2,1
RS0001,ACT0001,13,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,13,F_LFA1_GEN,ACTVT,06,,2,1
RS0001,ACT0001,13,F_LFA1_GRP,ACTVT,06,,2,1
RS0001,ACT0001,13,M_LFM1_EKO,ACTVT,06,,2,1
RS0001,ACT0001,14,F_LFA1_APP,ACTVT,01,02,2,1
RS0001,ACT0001,14,F_LFA1_APP,ACTVT,05,06,2,1
RS0001,ACT0001,14,F_LFA1_APP,APPKZ,M,,2,1
RS0001,ACT0001,14,F_LFA1_GEN,ACTVT,01,02,2,1
RS0001,ACT0001,14,F_LFA1_GEN,ACTVT,05,06,2,1
RS0001,ACT0001,14,B_MASSMAIN,MASSOBJTYP,LFA1,,2,1
RS0001,ACT0001,14,F_LFA1_GRP,ACTVT,01,02,2,1
RS0001,ACT0001,14,F_LFA1_GRP,ACTVT,05,06,2,1
RS0001,ACT0001,14,M_LFM1_EKO,ACTVT,01,02,2,1
RS0001,ACT0001,14,M_LFM1_EKO,ACTVT,05,06,2,1
RS0001,ACT0001,15,F_LFA1_APP,ACTVT,01,02,2,1
RS0001,ACT0001,15,F_LFA1_APP,ACTVT,05,06,2,1
RS0001,ACT0001,15,F_LFA1_BUK,ACTVT,01,02,2,1
RS0001,ACT0001,15,F_LFA1_BUK,ACTVT,05,06,2,1
RS0001,ACT0001,15,F_LFA1_GEN,ACTVT,01,02,2,1
RS0001,ACT0001,15,F_LFA1_GEN,ACTVT,05,06,2,1
RS0001,ACT0001,15,F_LFA1_GRP,ACTVT,01,02,2,1
RS0001,ACT0001,15,F_LFA1_GRP,ACTVT,05,06,2,1
RS0001,ACT0001,15,M_LFM1_EKO,ACTVT,01,02,2,1
RS0001,ACT0001,15,M_LFM1_EKO,ACTVT,05,06,2,1
RS0001,ACT0001,16,F_LFA1_APP,ACTVT,01,05,2,1
RS0001,ACT0001,16,F_LFA1_APP,ACTVT,05,06,2,1
RS0001,ACT0001,16,F_LFA1_BUK,ACTVT,01,02,2,1
RS0001,ACT0001,16,F_LFA1_BUK,ACTVT,05,06,2,1
RS0001,ACT0001,16,F_LFA1_GEN,ACTVT,01,02,2,1
RS0001,ACT0001,16,F_LFA1_GEN,ACTVT,05,06,2,1
RS0001,ACT0001,16,F_LFA1_GRP,ACTVT,01,02,2,1
RS0001,ACT0001,16,F_LFA1_GRP,ACTVT,05,06,2,1
RS0001,ACT0001,16,M_LFM1_EKO,ACTVT,01,02,2,1
RS0001,ACT0001,16,M_LFM1_EKO,ACTVT,05,06,2,1
RS0001,ACT0001,16,B_MASSMAIN,MASSOBJTYP,LFA1,,2,1
RS0001,ACT0002,1,M_BEST_BSA,ACTVT,01,,2,1
RS0001,ACT0002,2,M_BEST_BSA,ACTVT,02,,2,1
RS0001,ACT0002,3,M_BEST_EKO,ACTVT,01,02,2,1
RS0001,ACT0002,3,M_BEST_EKO,ACTVT,06,,2,1
RS0001,ACT0002,4,B_MASSMAIN,MASSOBJTYP,BUS2014,,2,1
RS0001,ACT0002,5,M_BEST_BSA,ACTVT,01,02,2,1
RS0001,ACT0002,5,B_MASSMAIN,MASSOBJTYP,BUS2012,,2,1
RS0001,ACT0002,6,M_BEST_BSA,ACTVT,01,02,2,1
RS0001,ACT0002,6,M_BEST_BSA,ACTVT,06,,2,1
RS0001,ACT0002,7,M_BEST_BSA,ACTVT,01,02,2,1
RS0001,ACT0002,7,M_BEST_EKG,ACTVT,01,02,2,1
RS0001,ACT0002,7,M_BEST_EKO,ACTVT,01,02,2,1
RS0001,ACT0002,7,M_BEST_WRK,ACTVT,01,02,2,1
RS0001,ACT0003,1,M_RAHM_BSA,ACTVT,01,,2,1
RS0001,ACT0003,1,M_RAHM_EKO,ACTVT,01,,2,1
RS0001,ACT0003,2,M_RAHM_BSA,ACTVT,02,,2,1
RS0001,ACT0003,2,M_RAHM_EKO,ACTVT,02,,2,1
RS0001,ACT0003,3,M_EINK_FRG,FRGCO,*,,2,1
